basin_id,basin_name,surface_area_drainage_basin,long_outlet,lat_outlet,ordre,pdam
361,Butron,237,-2.94670590907408,43.4074398220102,44,1
363,Eume,470,-8.13404128002854,43.4249941285877,45,1
292,Pas,662,-3.95702259761107,43.4362382043022,46,1
247,Sella,1297,-5.06449966916832,43.4645728407351,47,1
291,Eo,1050,-7.05236381792102,43.4725075300948,48,1
364,Grande,283,-7.05650407856935,43.4948138887598,49,1
3,Adour,16880,-1.52210544538636,43.5294179298336,50,1
103,Navia,2584,-6.72404665124113,43.530075820007,51,1
283,Nalon_Narcea,6749,-6.08841876563135,43.5383883598313,52,1
313,Masma,301,-7.26722459939125,43.5400536986278,53,1
245,Esva,465,-6.46955116846017,43.5497234763852,54,1
367,Ouro,189,-7.29637746617633,43.5939964548703,55,1
316,Landro,258,-7.60330951464756,43.6589836211942,56,1
368,Sor,202,-7.70534240795237,43.7075429624571,57,1
87,Leyre,2661,-1.02030771580152,44.6633866972933,58,1
60,Garonne,55000,-0.585081601489782,45.0139212839604,59,1
382,Dordogne,24000,-0.603802010803,45.0447223641735,60,1
138,Seudre,236,-1.13538587887299,45.7946674358631,61,1
32,Charente,10000,-1.07020208063444,45.9523663709676,62,1
269,Sevre Niortaise,3580,-1.08560320969698,46.3169187865894,63,1
84,Lay,2190,-1.31350193039061,46.331996406945,64,1
16,Auzance,620,-1.8458267320494,46.5887288484879,65,1
89,Loire,117000,-2.03962153867848,47.2994091540114,66,1
177,Vilaine,10475,-2.44461163519601,47.4973998883648,67,1
133,Scorff,300,-3.34783554834837,47.7406376360974,68,1
23,Blavet,2060,-3.30249619582593,47.7644408141433,69,1
112,Odet,715,-4.11289631499572,47.8710695112605,70,1
14,Aulne,1495,-4.13568137637758,48.2379658924726,71,1
52,Elorn,379,-4.28846382025786,48.434583613116,72,1
124,Rance,1195,-1.97200540567912,48.533751235094,73,1
36,Couesnon,1134,-1.50938201268339,48.6293742632412,74,1
137,Selune,1000,-1.35650561540603,48.6343075412333,75,1
86,Leguer,494,-3.52888876068966,48.7324233127369,76,1
166,Trieux,846,-3.08515231445815,48.8132763776064,77,1
116,Orne,1268,-0.246006592811472,49.2640802107755,78,1
41,Dives,638,-0.103859495141771,49.2951490667409,79,1
179,Vire,1170,-1.11649407501988,49.3432645160485,80,1
46,Douve,1670,-1.17394936388458,49.3566008804423,81,1
163,Touques,1350,0.0748591304250034,49.3655175348664,82,1
136,Seine,78000,0.293465780629967,49.4335882379052,83,1
25,Bresle,780,1.37307627665623,50.0616227812808,84,1
146,Somme,5560,1.64424147904093,50.1840517840067,85,1
15,Authie,1305,1.61986232531134,50.3693790167365,86,1
329,Tamar,1820,-4.219603377938,50.4756570726991,87,1
29,Canche,1274,1.62735357879896,50.5181731607102,88,1
330,Dorset Frome,548,-2.08165634918555,50.6878694284033,89,1
332,Hampshire Avon,1749,-1.74124506533082,50.7224155509078,90,1
1,Aa,1215,2.09915638470239,51.0114998156667,91,1
188,Yser,1300,2.7252192917766,51.1509791847998,92,1
55,Escaut,21861,4.39691449491217,51.2284074354138,93,1
271,Thames,13331,0.414461198131061,51.4496199922222,94,1
331,Taff,529,-3.17466260691362,51.4635864340131,95,1
17,Avon,2808,-2.70769881826352,51.4966344101406,96,1
139,Severn,11165,-2.640046397968,51.6105375948103,97,1
185,Wye,4141,-2.65964213199856,51.6175068868812,98,1
96,Meuse,36011,5.13105650196698,51.737836072328,99,1
164,Towy,1388,-4.32010495808608,51.816946115469,100,1
268,Rhine,185000,5.01744593656898,51.8204198358017,101,1
22,Blackwater,2184,-7.85610875594891,51.9813322566461,102,1
20,Barrow,2983,-6.9718284984703,52.2427457363127,103,1
144,Slaney,1943,-6.5084074572208,52.3505270190985,104,1
143,Shannon,11700,-8.63539180409262,52.6617425704881,105,1
66,Great_Ouse,8254,0.357290189008181,52.8094186808715,106,1
40,Dee,2235,-3.03620089563304,53.2177278891194,107,1
53,Ems,17934,7.249231385481,53.326216173278,108,1
94,Mersey,4065,-2.76882743164587,53.3275929412712,109,1
184,Weser,48800,8.51788926850392,53.5020649754736,110,1
165,Trent,10249,-0.688323216976883,53.6762644477959,111,1
51,Elbe,144055,9.09928064500417,53.8753154523629,112,1
328,Eider,3300,8.95156148975373,54.3126994349248,113,1
54,Erne,4374,-8.19654172408902,54.5007277432767,114,1
50,Eden,2769,-3.01516447282937,54.9472224765298,115,1
174,Vida,1081,8.6632786851788,54.9624149229005,116,1
169,Tyne,2940,-1.431820130709,55.0083839125931,117,1
59,Foyle,2927,-7.26608842147487,55.0425976411679,118,1
19,Bann,5957,-6.76542973747669,55.1650391423259,119,1
168,Tweed,5079,-2.00526264747825,55.7659164349314,120,1
34,Clyde,2956,-4.51514664812052,55.9277267022483,121,1
58,Forth,1683,-3.72793073831557,56.0640450108391,122,1
155,Tay,5021,-3.28434377510808,56.354035439052,123,1
69,Gudenaa,3200,10.2067044768575,56.4720387561255,124,1
81,Lagan,6440,12.9532172143635,56.546448325511,125,1
147,Spey,3060,-3.09623170633779,57.6749832555664,126,1
65,Gotaalv,50200,11.8492505614092,57.6828360778371,127,1
117,Otra,3740,8.01017428212745,58.1458376145187,128,1
199,Imsa,128,5.96522872944549,58.9043067821022,129,1
82,Lagen,5554,10.0721873619662,59.0616969475376,130,1
62,Glomma,42441,10.9472941736072,59.1951980847507,131,1
47,Drammens,17000,10.1907153170446,59.7444235502165,132,1
232,Orkla,3092,9.83229918245138,63.3120346309153,133,1
233,Namsen,6000,11.6479711083682,64.4745955912813,134,1
242,Vefsna,4122,13.1845419938346,65.8390195826313,135,1
