name;longitude;latitude;surface;pDam;firstDamHeight;winterTemperature;springTemperature;summerTemperature;fallTemperature;x1R;y1R;x2R;y2R;x3R;y3R;x4R;y4R;x1S;y1S;x2S;y2S;x3S;y3S;x4S;y4S;x1O;y1O;x2O;y2O;x3O;y3O;x4O;y4O
BV16;-1;44;80351;0.748606274;20;9.866666667;13.9;21.3;7.166666667;-1;44.5;-1;43.5;-0.779719161;43.5;-0.779719161;44.5;-1.25;44.5;-1.25;43.5;-2.25;43.5;-2.25;44.5;-2.75;44.5;-2.75;43.5;-3.75;43.5;-3.75;44.5
BV17;-1;43;80351;0.843280351;22;8.733333333;13.86666667;22.33333333;5.833333333;-1;43.5;-1;42.5;-0.882163621;42.5;-0.882163621;43.5;-1.25;43.5;-1.25;42.5;-2.25;42.5;-2.25;43.5;-2.75;43.5;-2.75;42.5;-3.75;42.5;-3.75;43.5
BV18;-1;42;80351;1;NaN;12.3;16.8;22.43333333;10.56666667;-1;42.5;-1;41.5;-0.941363354;41.5;-0.941363354;42.5;-1.25;42.5;-1.25;41.5;-2.25;41.5;-2.25;42.5;-2.75;42.5;-2.75;41.5;-3.75;41.5;-3.75;42.5
BV19;-1;41;80351;0.901652746;16;12.8;17.3;22.93333333;11.06666667;-1;41.5;-1;40.5;-0.99521361;40.5;-0.99521361;41.5;-1.25;41.5;-1.25;40.5;-2.25;40.5;-2.25;41.5;-2.75;41.5;-2.75;40.5;-3.75;40.5;-3.75;41.5
BV20;-1;40;80351;0.910050033;25;13.3;17.8;23.43333333;11.56666667;-1;40.5;-1;39.5;-0.67398325;39.5;-0.67398325;40.5;-1.25;40.5;-1.25;39.5;-2.25;39.5;-2.25;40.5;-2.75;40.5;-2.75;39.5;-3.75;39.5;-3.75;40.5
BV21;-1;39;80351;1;NaN;13.8;18.3;23.93333333;12.06666667;-1;39.5;-1;38.5;-0.464024283;38.5;-0.464024283;39.5;-1.25;39.5;-1.25;38.5;-2.25;38.5;-2.25;39.5;-2.75;39.5;-2.75;38.5;-3.75;38.5;-3.75;39.5
BV22;-1;38;80351;1;NaN;14.3;18.8;24.43333333;12.56666667;-1;38.5;-1;37.5;-0.880298767;37.5;-0.880298767;38.5;-1.25;38.5;-1.25;37.5;-2.25;37.5;-2.25;38.5;-2.75;38.5;-2.75;37.5;-3.75;37.5;-3.75;38.5
BV23;-1;37;80351;0.77438752;25;14.8;19.3;24.93333333;13.06666667;-1;37.5;-1;36.5;-0.504060609;36.5;-0.504060609;37.5;-1.25;37.5;-1.25;36.5;-2.25;36.5;-2.25;37.5;-2.75;37.5;-2.75;36.5;-3.75;36.5;-3.75;37.5
BV24;-1;36;80351;0.801607516;23;15.3;19.8;25.43333333;13.56666667;-1;36.5;-1;35.5;-0.340177735;35.5;-0.340177735;36.5;-1.25;36.5;-1.25;35.5;-2.25;35.5;-2.25;36.5;-2.75;36.5;-2.75;35.5;-3.75;35.5;-3.75;36.5
BV25;-1;35;80351;0.860728979;18;15.8;20.3;25.93333333;14.06666667;-1;35.5;-1;34.5;-0.939010139;34.5;-0.939010139;35.5;-1.25;35.5;-1.25;34.5;-2.25;34.5;-2.25;35.5;-2.75;35.5;-2.75;34.5;-3.75;34.5;-3.75;35.5
